canonical_smiles,pchembl_value,family,standard_type,color,x,y
CC(C)C[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)CNC(=O)[C@@H]3CSSC[C@H](NC1=O)C(=O)N[C@@H](Cc4cnc[nH]4)C(=O)N5CC[C@H](O)[C@H]5C(=O)N[C@H](C(=O)O)CSSC[C@H](NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H]6CCC(=O)N6)C(C)C)C(=O)N3,6.74,SLC6,IC50,#6D8BF8,21.355297088623047,-30.33832550048828
CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]3N(CCCCn4cnc(-c5cccnc5)c4)C(=O)O[C@]13C,5.46,SLCO,IC50,#A5DA6C,43.36049270629883,-8.271196365356445
CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]3N(CCCCn4cnc(-c5cccnc5)c4)C(=O)O[C@]13C,5.23,SLCO,IC50,#A5DA6C,43.36049270629883,-8.271196365356445
CC[C@H](C)[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]3C[C@@H](C/C=C(\C)/[C@@H](O[C@H]4C[C@H](OC)[C@@H](O[C@H]5C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)[C@@H](C)/C=C/C=C/6\CO[C@@H]7[C@H](O)C(C)=C[C@@H](C(=O)O3)[C@]67O)O2.CO[C@H]1C[C@H](O[C@H]2[C@H](C)O[C@@H](O[C@@H]3/C(/C)=C/C[C@@H]4C[C@@H](C[C@]5(CC[C@H](C)[C@@H](C(C)C)O5)O4)OC(=O)[C@@H]6C=C(C)[C@@H](O)[C@H]7OC\C(=C/C=C/[C@@H]3C)\[C@@]67O)C[C@@H]2OC)O[C@@H](C)[C@@H]1O,5.4,SLC6,IC50,#6D8BF8,37.00103378295898,-6.872125625610352
CC[C@H](C)[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]3C[C@@H](C/C=C(\C)/[C@@H](O[C@H]4C[C@H](OC)[C@@H](O[C@H]5C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)[C@@H](C)/C=C/C=C/6\CO[C@@H]7[C@H](O)C(C)=C[C@@H](C(=O)O3)[C@]67O)O2.CO[C@H]1C[C@H](O[C@H]2[C@H](C)O[C@@H](O[C@@H]3/C(/C)=C/C[C@@H]4C[C@@H](C[C@]5(CC[C@H](C)[C@@H](C(C)C)O5)O4)OC(=O)[C@@H]6C=C(C)[C@@H](O)[C@H]7OC\C(=C/C=C/[C@@H]3C)\[C@@]67O)C[C@@H]2OC)O[C@@H](C)[C@@H]1O,5.35,SLC6,IC50,#6D8BF8,37.00103378295898,-6.872125625610352
CCOC(=O)CCC(=O)O[C@H]1[C@H](O[C@@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C,5.52,SLCO,IC50,#A5DA6C,43.75123596191406,-7.257016658782959
CCOC(=O)CCC(=O)O[C@H]1[C@H](O[C@@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C,5.78,SLCO,Ki,#A5DA6C,43.75123596191406,-7.257016658782959
CCOC(=O)CCC(=O)O[C@H]1[C@H](O[C@@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C,5.68,SLCO,IC50,#A5DA6C,43.75123596191406,-7.257016658782959
CCOC(=O)CCC(=O)O[C@H]1[C@H](O[C@@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C,5.79,SLCO,Ki,#A5DA6C,43.75123596191406,-7.257016658782959
CC[C@H]1/C=C/C=C/C[C@@H](C)[C@H](O)[C@@](C)(O)C(=O)[C@@H](C)[C@H](O)[C@@H](C)C(=O)[C@@H](C)[C@H](O)[C@@H](C)/C=C/C(=O)O[C@H]2[C@H](C)[C@@]3(CC[C@H](C)[C@H](C[C@@H](C)O)O3)O[C@@H](CC1)[C@H]2C,6.6,SLCO,Ki,#A5DA6C,31.281633377075195,-5.59019660949707
CC[C@H]1/C=C/C=C/C[C@@H](C)[C@H](O)[C@@](C)(O)C(=O)[C@@H](C)[C@H](O)[C@@H](C)C(=O)[C@@H](C)[C@H](O)[C@@H](C)/C=C/C(=O)O[C@H]2[C@H](C)[C@@]3(CC[C@H](C)[C@H](C[C@@H](C)O)O3)O[C@@H](CC1)[C@H]2C,6.36,SLCO,Ki,#A5DA6C,31.281633377075195,-5.59019660949707
O=C(O)/C=C/C(=O)NC1CCCCCCCCCCC1,6.05,SLC65,Potency,#fCAE05,5.144833564758301,-12.09445571899414
C=C(C=O)C[C@@H]1C[C@H](O)C2OC3C[C@]4(C)OC5/C=C\CC6OC7C(CC=CCC6OC5CCCC4OC3CC2O1)OC8CC9OC%10CC(=O)OC%10C[C@@H](C)C[C@@]9(C)OC8C[C@@H]7C,5.25,SLC65,Potency,#fCAE05,34.478023529052734,-4.563401699066162
C[C@H]1CCC/C=C/C2C[C@H](O)C[C@@]2(O)C/C=C/C(=O)O1,4.04,SLC65,Potency,#fCAE05,29.67060279846192,-1.714855074882507
CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c5cc6c(cc5OC)N(C)[C@H]7[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]8(CC)C=CCN9CC[C@]67[C@@H]98)C2)C1.O=S(=O)(O)O,6.0,SLC65,Potency,#fCAE05,34.7965202331543,22.24742126464844
CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c5cc6c(cc5OC)N(C)[C@H]7[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]8(CC)C=CCN9CC[C@]67[C@@H]98)C2)C1,4.33,SLCO,IC50,#A5DA6C,35.6127815246582,21.69981575012207
CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c5cc6c(cc5OC)N(C)[C@H]7[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]8(CC)C=CCN9CC[C@]67[C@@H]98)C2)C1,4.36,SLCO,IC50,#A5DA6C,35.6127815246582,21.69981575012207
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,5.51,SLCO,IC50,#A5DA6C,43.52920150756836,-7.388960838317871
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,5.48,SLCO,IC50,#A5DA6C,43.52920150756836,-7.388960838317871
OC[C@H]1O[C@@H](c2ccc3c(c2)Cc4ccc(cc4)OC/C=C/CCC3)[C@H](O)[C@@H](O)[C@@H]1O,7.05,SLC5,IC50,#6eff2b,30.69977188110352,-16.54156494140625
